"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"215","SRP108709","SRX2887488","4_4H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4H_L001_R1_001.fastq.gz","8621ba7307d85058d28f133c62795770","Human"
"216","SRP108709","SRX2887274","2_8B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8B_L002_R1_001.fastq.gz","0ebdff884364feec6c3c3da5268a236a","Human"
"217","SRP108709","SRX2887299","4_6B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6B_L002_R1_001.fastq.gz","1c021cfe027018b9710a35c5b3281ee8","Human"
"218","SRP108709","SRX2887329","4_7E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7E_L001_R1_001.fastq.gz","b2b7d129605b4eca6813c0cddd39e116","Human"
"219","SRP108709","SRX2887276","2_8D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8D_L002_R1_001.fastq.gz","5cf2b1bdefbe4be77309ea1e21f24e27","Human"
"220","SRP108709","SRX2887348","2_9G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9G_L002_R1_001.fastq.gz","1a84e832c9b35e547be5a09890ae01a8","Human"
"221","SRP108709","SRX2887414","4_3G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3G_L002_R1_001.fastq.gz","c3267d5a13a16788f5eb5bf8ccc2734e","Human"
"222","SRP108709","SRX2887368","2_1A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1A_L002_R1_001.fastq.gz","0ff0f7921cfd209ffc2230f497e0406b","Human"
"223","SRP108709","SRX2887456","4_5F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5F_L002_R1_001.fastq.gz","05741a4a0b719b753c3ed149784f0a46","Human"
"224","SRP108709","SRX2887463","4_11A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11A_L002_R1_001.fastq.gz","dc9c739708f4abd5c0f3b099ccc56caf","Human"
"225","SRP108709","SRX2887293","4_8B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8B_L001_R1_001.fastq.gz","491e363f5b6088b7616dd14d4bc6d281","Human"
"226","SRP108709","SRX2887383","4_10B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10B_L002_R1_001.fastq.gz","2b71d2fc6d953bd6276beab0c6acfd8e","Human"
"227","SRP108709","SRX2887517","2_4C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_4C_L002_R1_001.fastq.gz","a25345211820060c95d9af2aa7762e4d","Human"
"228","SRP108709","SRX2887294","4_8B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8B_L002_R1_001.fastq.gz","99e1e7273b5d4dfdd817ab0cfbc9843b","Human"
"229","SRP108709","SRX2887269","2_8F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8F_L002_R1_001.fastq.gz","17d5d7827faee58998c3e172322d8645","Human"
"230","SRP108709","SRX2887534","4_12B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12B_L002_R1_001.fastq.gz","eb77dd1589ec35276fafec17e6bb4d9e","Human"
