"","study.accession","experiment.accession","source_name","cell.type","cell.subtype"
"158","SRP094414","SRX2388109","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"159","SRP094414","SRX2388165","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"160","SRP094414","SRX2388155","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"161","SRP094414","SRX2388164","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"162","SRP094414","SRX2388140","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"163","SRP094414","SRX2388142","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"164","SRP094414","SRX2388157","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"165","SRP094414","SRX2388160","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"166","SRP094414","SRX2388141","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"167","SRP094414","SRX2388136","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"168","SRP094414","SRX2388103","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"169","SRP094414","SRX2388148","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"170","SRP094414","SRX2388164","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"171","SRP094414","SRX2388116","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"172","SRP094414","SRX2388104","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"173","SRP094414","SRX2388141","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"174","SRP094414","SRX2388129","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"175","SRP094414","SRX2388161","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"176","SRP094414","SRX2388138","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"177","SRP094414","SRX2388160","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"178","SRP094414","SRX2388113","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"179","SRP094414","SRX2388131","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"180","SRP094414","SRX2388156","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"181","SRP094414","SRX2388136","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"182","SRP094414","SRX2388112","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"183","SRP094414","SRX2388146","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"184","SRP094414","SRX2388169","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"185","SRP094414","SRX2388167","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"186","SRP094414","SRX2388130","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"187","SRP094414","SRX2388121","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"188","SRP094414","SRX2388147","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"189","SRP094414","SRX2388121","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"190","SRP094414","SRX2388124","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"191","SRP094414","SRX2388121","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"192","SRP094414","SRX2388139","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
