"","study.accession","experiment.accession","source_name","cell.line","cell.type","drug","concentration"
"89","SRP107198","SRX2831547","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405838","10 nM"
"90","SRP107198","SRX2831503","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"91","SRP107198","SRX2831482","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405839","10 nM"
"92","SRP107198","SRX2831632","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"93","SRP107198","SRX2831491","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"94","SRP107198","SRX2831650","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405842","100 nM"
"95","SRP107198","SRX2831603","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"96","SRP107198","SRX2831487","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405844","1000 nM"
"97","SRP107198","SRX2831634","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"98","SRP107198","SRX2831529","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"99","SRP107198","SRX2831574","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"100","SRP107198","SRX2831633","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"101","SRP107198","SRX2831611","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"102","SRP107198","SRX2831518","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405842","100 nM"
"103","SRP107198","SRX2831609","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
